name,creator,url,image,registration
Aer Lingus,MonsterMatti,https://flightsim.to/file/6229/citation-cj4-aer-lingus-with-custom-interior,https://cdn.flightsim.to/images/07/bVPYd3BW.jpg?width=275&auto_optimize=medium,
Aerobiz,KWAiRT,https://flightsim.to/file/14564/aerobiz-cj4,https://cdn.flightsim.to/images/14/KC7pzUJP.jpg?width=275&auto_optimize=medium,
Air Canada (with custom interior),MonsterMatti,https://flightsim.to/file/361/citation-cj4-air-canada,https://cdn.flightsim.to/images/01/DFHBodRG.jpg?width=275&auto_optimize=medium,
Air Canada Express Ice Blue,wassabi_sniper,https://flightsim.to/file/1134/cessna-citation-cj4-air-canada-express-ice-blue-old,https://cdn.flightsim.to/images/02/6IuojRlg.png?width=275&auto_optimize=medium,
American Eagle,Xander548,https://flightsim.to/file/1342/american-eagle-cj4,https://cdn.flightsim.to/images/02/E9w150bm.png?width=275&auto_optimize=medium,
BlackDogINC,MonsterMatti,https://flightsim.to/file/5984/citation-cj4-blackdoginc-including-custom-interior,https://cdn.flightsim.to/images/07/7oWSZyj0.jpg?width=275&auto_optimize=medium,
Blue C-3D,Stolidus,https://flightsim.to/file/4908/cj4-c-3d-b,https://cdn.flightsim.to/images/06/_C8aIo9y.jpg?width=275&auto_optimize=medium,
Blue/White Polar,Windhover,https://flightsim.to/file/7654/citation-cj4-polar-livery,https://cdn.flightsim.to/images/08/KeWmtGxB.jpg?width=275&auto_optimize=medium,
Bush League - The Dark Knight,Canuckshaw,https://mega.nz/file/l4dxXSoZ#zuDftKHZjl1dZpCK32WzA5zwlKvAJ5OjLkZnt2yzU4w,,
Carbon Gold,Slinky,https://flightsim.to/file/637/citation-cj4-carbon-gold-4k-2k,https://cdn.flightsim.to/images/01/CR8PmehD.png?width=275&auto_optimize=medium,
C-FLBS,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=cflbs,https://forums.flightsimulator.com/uploads/default/optimized/4X/e/c/e/ecebce8fe465e2825b49ac68b2b5ba32995d50fa_2_690x389.jpeg,C-FLBS
C-GLUV,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=cgluv,https://forums.flightsimulator.com/uploads/default/optimized/4X/7/6/0/7607857dbba1e8ef4307ebce407ae26cf846ce43_2_690x389.jpeg,C-GLUV
Dark Gray,Th3SimPilot,https://flightsim.to/file/4020/citation-cj4-dark-gray-4k,https://cdn.flightsim.to/images/05/CIBWa32P.png?width=275&auto_optimize=medium,
Dark Premium,MonsterMatti,https://flightsim.to/file/6069/citation-cj4-dark-premium,https://cdn.flightsim.to/images/07/3mVnzJ7c.jpg?width=275&auto_optimize=medium,
D-CBCT,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=dcbct,https://forums.flightsimulator.com/uploads/default/original/3X/3/9/39b4ac609751836a01808739c15e81c313d866bc.jpeg,D-CBCT
D-CHRA,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=dchra,https://forums.flightsimulator.com/uploads/default/optimized/3X/b/f/bf2ec634f9e63b961aa7f8fc83685b987d1355f5_2_690x388.jpeg,
Delta Connection,Xander548,https://flightsim.to/file/735/delta-connection-cj4,https://cdn.flightsim.to/images/01/bSlJYGtn.png?width=275&auto_optimize=medium,
Embry Riddle Aeronautical University,copterdocter771,https://flightsim.to/file/23073/cj4-embry-riddle-aeronautical-university-erau,https://cdn.flightsim.to/images/20/cj4-embry-riddle-aeronautical-university-erau-QDKms.jpg?width=275&auto_optimize=medium,
Emirates Training Academy,Thomas Vanhove,https://flightsim.to/file/8326/8k-citation-cj4-emirates-training-academy,https://images.flightsim.to/images/09/RV0ri2yC.png?width=275&auto_optimize=medium,
GEN2 Livery (with custom interior),EDRM-Repaints & MonsterMatti,https://flightsim.to/file/11308/citation-cj4-gen2-n325cj-with-custom-interior,https://cdn.flightsim.to/images/12/OpjXJIZe.png?width=275&auto_optimize=medium,
German Airforce,f0xacid,https://flightsim.to/file/18340/flugbereitschaft-bmvg-fictional-wt-only,https://cdn.flightsim.to/images/16/flugbereitschaft-bmvg-fictional-wt-only-ekLzR.jpg?width=275&auto_optimize=medium,13+07
Grey And Blue (with custom interior),MonsterMatti,https://flightsim.to/file/362/citation-cj4-grey-and-blue,https://cdn.flightsim.to/images/01/clZQKAC3.jpg?width=275&auto_optimize=medium,
Gunmetal,twoseventyinc,https://flightsim.to/file/5171/cj4-gunmetal-livery-with-dark-interior,https://cdn.flightsim.to/images/07/z5sSbuG6.png?width=275&auto_optimize=medium,
Hahn Air,MonsterMatti,https://flightsim.to/file/6092/citation-cj4-hahn-air,https://cdn.flightsim.to/images/07/ebnRDqzA.png?width=275&auto_optimize=medium,
KLM,R1NS3,https://flightsim.to/file/261/klm-cj4,https://cdn.flightsim.to/images/01/r7mAgcjl.png?width=275&auto_optimize=medium,
Korean Air Training,stopthepanic,https://flightsim.to/file/17717/korean-air-training-citation-cj4,https://cdn.flightsim.to/images/16/korean-air-training-citation-cj4-CsKw3G4r.jpg?width=275&auto_optimize=medium,
Luftambulanse,AviNjord,https://flightsim.to/file/404/luftambulanse-cessna-cj4,https://cdn.flightsim.to/images/01/f2uCrLjK.png?width=275&auto_optimize=medium,
Lufthansa Flight Academy,ChristophT,https://flightsim.to/file/945/msfs2020-asobo-cessna-citation-cj4-lufthansa-flight-academy,https://cdn.flightsim.to/images/01/9cMlsdwa.jpg?width=275&auto_optimize=medium,
N1141M,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n1141m,https://forums.flightsimulator.com/uploads/default/original/3X/a/b/ab336dc27d0cc290384e4769e72633b40f8b8203.jpeg,N1141M
N220BA,Jan Kees Blom,https://flightsim.to/file/2299/cessna-cj4-citation-n220ba,https://cdn.flightsim.to/images/02/qe5Fzgwt.jpg?width=275&auto_optimize=medium,N220BA
N232JS,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n232js,https://forums.flightsimulator.com/uploads/default/optimized/4X/e/2/5/e2597c84e98468a941b089e6d8f62b909351d5c7_2_690x390.jpeg,N232JS
N272RV,Nerbulus,https://flightsim.to/file/17945/cessna-citation-cj4-n272rv,https://cdn.flightsim.to/images/16/cessna-citation-cj4-n272rv-FgnjOc6J.jpg?width=275&auto_optimize=medium,N272RV
N2RF,MonsterMatti,https://flightsim.to/file/6328/citation-cj4-n2rf,https://cdn.flightsim.to/images/07/VOD6Ft4r.jpg?width=275&auto_optimize=medium,
N325CJ,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n325cj,https://cdn.flightsim.to/images/12/OpjXJIZe.png?width=275&auto_optimize=medium,N325CJ
N347CZ,Nerbulus,https://flightsim.to/file/23444/cessna-citation-cj4-n347cz,https://cdn.flightsim.to/images/20/cessna-citation-cj4-n347cz-qtQ5e.jpg?width=275&auto_optimize=medium,N347CZ
